Validation_Set,Topics,Alpha,Beta,Perplexity,U_mass,C_v,C_uci,C_npmi
100% Corpus,25,0.01,1.0,-6.059803118321283,-13.024897022062996,0.41510001121170736,-11.089023653152228,-0.3356685259964289
100% Corpus,25,0.1,0.01,-6.606922302175516,-12.933118510547715,0.3993939766326688,-10.998659754271785,-0.32786788902598873
100% Corpus,25,0.1,0.1,-6.04815332278497,-13.211460768544171,0.411944722014745,-11.186082250367551,-0.33717282242555646
100% Corpus,25,0.1,1.0,-6.2121778773939536,-13.367841161716912,0.4119078501391171,-11.305821429925711,-0.3443905230069649
100% Corpus,25,1.0,0.01,-7.134719268009898,-12.555302648103238,0.3904200600349931,-10.750779974891001,-0.31541618322388754
100% Corpus,25,1.0,0.1,-6.451363198819005,-11.754424056437024,0.3740965179726738,-10.345741343479325,-0.29925680890950485
100% Corpus,25,1.0,1.0,-6.731805869898829,-10.539959569386559,0.36529893946053654,-9.94966168981863,-0.3017394432917096
100% Corpus,30,0.01,0.01,-6.431759200233727,-12.891971403852324,0.3928932326146045,-10.982532706368966,-0.32913656253620355
100% Corpus,30,0.01,0.1,-5.859482452590662,-12.732707006774545,0.4015980878335182,-10.852977513917908,-0.3243210986999138
100% Corpus,30,0.01,1.0,-6.062215158302299,-13.23977714299107,0.3895518010128019,-11.025004697275198,-0.33191429506310227
100% Corpus,30,0.1,0.01,-6.594475840011593,-12.667322589588629,0.38679087749856067,-10.85651997965048,-0.32462578334095343
100% Corpus,30,0.1,0.1,-6.0354007692406375,-12.957271405583574,0.3933079995153749,-11.037112127689687,-0.33164164907131133
100% Corpus,30,0.1,1.0,-6.237759075948586,-13.06993402394042,0.40326059308351186,-10.881363141207093,-0.3249389376855788
100% Corpus,30,1.0,0.01,-7.16277232444989,-12.193132716576331,0.39355881080681937,-10.849165687280276,-0.31880241883399507
100% Corpus,30,1.0,0.1,-6.503181085068857,-11.042723270709056,0.38932109513506713,-10.09229417863757,-0.2865006360487849
100% Corpus,30,1.0,1.0,-6.892072483492854,-11.010249063337948,0.4243205984087222,-10.289976717600881,-0.3291047664580268
