Validation_Set,Topics,Alpha,Beta,Perplexity,U_mass,C_v,C_uci,C_npmi
100% Corpus,20,0.1,1.0,-5.917705890287956,-13.365867301339643,0.41875601427864384,-11.847781807662972,-0.34643404479204826
100% Corpus,20,1.0,0.01,-6.786325019367394,-12.01074876302741,0.41190209844633124,-10.690465248569263,-0.281371112454864
100% Corpus,20,1.0,0.1,-6.141936189565985,-11.292145784514172,0.4368155863974243,-10.185760742494288,-0.2573646954492182
100% Corpus,20,1.0,1.0,-6.417592539092792,-11.471032261186668,0.4375943245294617,-11.279786492201719,-0.3374622397917406
100% Corpus,25,0.01,0.01,-6.2371562019434,-12.803429251511215,0.39812456588527345,-11.31763930179917,-0.320049141088943
100% Corpus,25,0.01,0.1,-5.591845676697613,-12.899650508064337,0.397502204793977,-11.247081583252735,-0.31930241905902884
100% Corpus,25,0.01,1.0,-5.7075787161565605,-12.11729582959567,0.4696636371841648,-11.010540569103828,-0.3109349723429039
100% Corpus,25,0.1,0.01,-6.353482752435264,-11.762797238289382,0.44088441643474224,-10.76807671035723,-0.2911353683145397
100% Corpus,25,0.1,0.1,-5.7707442594780805,-12.524196644336719,0.41049331624404223,-11.119697399412065,-0.31016347761882296
100% Corpus,25,0.1,1.0,-5.950383201064098,-12.375473388314246,0.4376494216060403,-11.2130160400063,-0.31949810046641686
100% Corpus,25,1.0,0.01,-6.809075609581279,-11.496708300296016,0.4535160689133429,-10.56117771396365,-0.27953765295646804
100% Corpus,25,1.0,0.1,-6.2227447674387975,-10.120666280188862,0.4748194879657083,-9.86631786226108,-0.2452524681716855
100% Corpus,25,1.0,1.0,-6.603306764506159,-13.528470518800257,0.49743984780246886,-12.832181678190139,-0.4103566058888859
100% Corpus,30,0.01,0.01,-6.131067331507802,-11.78354380912659,0.4021807164847821,-10.577079196727242,-0.28404459856155057
100% Corpus,30,0.01,0.1,-5.574885516604852,-12.380667834510243,0.39274734579107495,-10.909266898906896,-0.2984902096749931
100% Corpus,30,0.01,1.0,-5.760923192871823,-12.353540381928486,0.4105679794184461,-10.937414722548574,-0.3037700730372069
100% Corpus,30,0.1,0.01,-6.37785659031499,-11.433207534867586,0.4304704194085072,-10.357212239414945,-0.27509541235348706
100% Corpus,30,0.1,0.1,-5.806377372500442,-11.952603768783463,0.4120736280254478,-10.744245346645517,-0.2938400417158486
100% Corpus,30,0.1,1.0,-5.99697021565267,-12.357863425570223,0.3943190669558809,-10.900227512524879,-0.3043480638682216
100% Corpus,30,1.0,0.01,-6.859428719789277,-11.586885841550927,0.4734000120767275,-10.967871304270783,-0.3005774616118185
100% Corpus,30,1.0,0.1,-6.311794911458024,-9.925804137172209,0.4772736287074103,-9.866644982786612,-0.24433308860344474
100% Corpus,30,1.0,1.0,-6.730487454352191,-15.377158527659246,0.5305640701368802,-13.908136350768958,-0.46377924935980175
