Validation_Set,Topics,Alpha,Beta,Perplexity,U_mass,C_v,C_uci,C_npmi
100% Corpus,25,1.0,1.0,-6.574054105195975,-11.545746351204905,0.47300258123942157,-10.6589533832063,-0.32745279333714655
100% Corpus,30,0.01,0.01,-6.105715423867799,-10.632189091661338,0.4313487161820961,-9.851697078462275,-0.26586266577409046
100% Corpus,30,0.01,0.1,-5.602866773495716,-10.94519125978288,0.4361221165107585,-10.144683972029442,-0.2796552197597916
100% Corpus,30,0.01,1.0,-5.8649226126161045,-11.936434027430042,0.3834372338421034,-10.560559164454135,-0.30361821575179754
100% Corpus,30,0.1,0.01,-6.262614454577555,-10.656497901606425,0.4156704015289258,-9.933017856284875,-0.27222277995091954
100% Corpus,30,0.1,0.1,-5.777971844839305,-10.623486987297328,0.4173621634534903,-9.930726386649642,-0.2716150886754841
100% Corpus,30,0.1,1.0,-6.040399025753992,-11.259310179809193,0.40738131956332707,-10.317455303239928,-0.2889572109822975
100% Corpus,30,1.0,0.01,-6.838353373672067,-10.121105880420876,0.4596924928861472,-10.003144815781347,-0.267822692579243
100% Corpus,30,1.0,0.1,-6.2739723685842295,-8.322649583153089,0.4897243264307985,-8.838019389214784,-0.21364212192326995
100% Corpus,30,1.0,1.0,-6.747527916827051,-12.675044850593713,0.46534674837900786,-11.464914852803076,-0.36968130958119017
