Validation_Set,Topics,Alpha,Beta,Perplexity,U_mass,C_v,C_uci,C_npmi
100% Corpus,22,0.5,1,-6.6755158377907104,-10.12013130920517,0.3755715258829186,-9.082499442771656,-0.23835249718233123
100% Corpus,22,0.5,symmetric,-6.597091077050939,-12.128574033546586,0.3761497059598483,-10.491305406284425,-0.302920108227212
100% Corpus,22,1,0.01,-7.480084210927053,-11.331332776745539,0.3847169064858638,-10.126347661786808,-0.2835576622638279
100% Corpus,22,1,0.1,-6.6697740668771885,-10.917166684612399,0.3594409889732551,-9.729220679630021,-0.2643986149231067
100% Corpus,22,1,0.5,-6.796958036439346,-8.569110197785514,0.3817594853136396,-8.464062482047456,-0.21841697289168305
100% Corpus,22,1,1,-6.925966275315419,-8.18530085202505,0.3539717508484311,-8.249485287907842,-0.24124453975798418
100% Corpus,22,1,symmetric,-6.773237723180696,-11.2793213602647,0.39208618189313976,-10.017747550248536,-0.2766023403080608
100% Corpus,22,symmetric,0.01,-6.922591805172195,-12.697304584811631,0.40274091775922843,-11.170145398181662,-0.338528571391443
100% Corpus,22,symmetric,0.1,-6.247762002160065,-12.948541441608825,0.41088073059944996,-11.382730813278298,-0.34736115027157793
100% Corpus,22,symmetric,0.5,-6.236867494688585,-12.925427148451075,0.4197450942834888,-11.483193001616893,-0.356295686522314
100% Corpus,22,symmetric,1,-6.325692985102617,-12.366643209060364,0.4122178634546994,-11.160398010773868,-0.34061063478402
100% Corpus,22,symmetric,symmetric,-6.392616456623177,-12.634047706429033,0.3956478989404808,-11.162961094386372,-0.33765178817889613
100% Corpus,22,asymmetric,0.01,-6.903030055143533,-12.535810742560153,0.4006346746293529,-11.129202238236655,-0.3383421952444066
100% Corpus,22,asymmetric,0.1,-6.243322411648852,-12.77859431082259,0.4005145456792638,-11.302662901992926,-0.3435089123037522
100% Corpus,22,asymmetric,0.5,-6.229657924639013,-12.40624706229255,0.41615166126895886,-11.067783120263998,-0.3353333397437103
100% Corpus,22,asymmetric,1,-6.3161364183913795,-11.670770164403518,0.39610259843803813,-10.58806853995987,-0.31522152007295123
100% Corpus,22,asymmetric,symmetric,-6.382240580648477,-12.632753029480392,0.3939384496013462,-11.00129559748322,-0.3300594273703959
100% Corpus,25,0.01,0.01,-6.8279693697294075,-11.94375699051057,0.39334513853731695,-10.676890993185214,-0.3163366147718922
